datetime,supermarket,product,product_name,product_price
2023-06-24 11:00:38.888853,sfw,Milk,Dairyland 2% Milk Partly Skimmed 1 L,2.99
2023-06-24 11:00:40.133425,sfw,Tomato sauce,Hunt's Fat-Free Tomato Sauce 680 ml,3.29
2023-06-24 11:00:41.097153,sfw,Spaguetti,Catelli Pasta Spaghetti 900 g,5.79
2023-06-24 11:00:42.401403,sfw,Bacon,Schneiders Bacon Hickory Smoked Classic Cut 375 g,4.99
2023-06-24 11:00:43.797194,sfw,Beans,Unico Black Beans 540 ml,2.79
2023-06-24 11:00:44.729593,sfw,Strawberries,Strawberries 454 g,4.99
2023-06-24 11:00:45.615003,sfw,Bread,Dempster's White Bread Stay Fresh 570 g,3.25
2023-06-24 11:00:46.505568,sfw,Sliced ham,Maple Leaf Natural Selections Sliced Deli Ham Baked 175 g,8.49
2023-06-24 11:00:47.776734,sfw,Sliced cheese,Cracker Barrel Slices Cheese Mozzarella 240 g,4.99
2023-06-24 11:00:48.802942,sfw,Hot dogs,Maple Leaf Natural Top Dogs Hot Dogs Original 375 g,7.29
2023-06-24 11:00:49.646617,sof,Milk,"Dairyland - 2% Milk, 1 Litre",2.89
2023-06-24 11:00:50.547860,sof,Tomato sauce,"Hunt's - Tomato Sauce, Fat Free, 680 Millilitre",3.29
2023-06-24 11:00:51.277165,sof,Spaguetti,"Catelli - Classic, Spaghetti Pasta, 900 Gram",5.29
2023-06-24 11:00:51.912505,sof,Bacon,"Schneiders - Hickory Smoked Classic Cut Bacon, 375 Gram",8.99
2023-06-24 11:00:52.615585,sof,Beans,"Unico - Black Beans, 540 Millilitre",2.99
2023-06-24 11:00:56.157511,sof,Strawberries,"Strawberries - Fresh, 1 Each",4.99
2023-06-24 11:00:56.907454,sof,Bread,"Dempster's - White Bread - Sliced, 570 Gram",4.99
2023-06-24 11:00:57.839868,sof,Sliced ham,"Maple Leaf - Natural Selections Sliced Deli Ham, Baked, 175 Gram",8.49
2023-06-24 11:01:01.554219,sof,Sliced cheese,"Cracker Barrel - Mozzarella Cheese Slices, 240 Gram",4.99
2023-06-24 11:01:02.210424,sof,Hot dogs,"Maple Leaf - Natural Top Dogs Original Hot Dogs, 375 Gram",4.99
