datetime,supermarket,product,product_name,product_price
2023-06-10 11:00:40.042559,sfw,Milk,Dairyland 2% Milk Partly Skimmed 1 L,2.99
2023-06-10 11:00:41.140739,sfw,Tomato sauce,Hunt's Fat-Free Tomato Sauce 680 ml,3.29
2023-06-10 11:00:41.963647,sfw,Spaguetti,Catelli Pasta Spaghetti 900 g,5.79
2023-06-10 11:00:42.765518,sfw,Bacon,Schneiders Bacon Hickory Smoked Classic Cut 375 g,8.29
2023-06-10 11:00:43.926437,sfw,Beans,Unico Black Beans 540 ml,2.49
2023-06-10 11:00:45.017073,sfw,Strawberries,Strawberries 454 g,6.99
2023-06-10 11:00:46.179902,sfw,Bread,Dempster's White Bread Stay Fresh 570 g,3.25
2023-06-10 11:00:47.055470,sfw,Sliced ham,Maple Leaf Natural Selections Sliced Deli Ham Baked 175 g,7.99
2023-06-10 11:00:47.861105,sfw,Sliced cheese,Cracker Barrel Slices Cheese Mozzarella 240 g,4.99
2023-06-10 11:00:48.896564,sfw,Hot dogs,Maple Leaf Natural Top Dogs Hot Dogs Original 375 g,7.29
2023-06-10 11:00:49.749276,sof,Milk,"Dairyland - 2% Milk, 1 Litre",2.89
2023-06-10 11:00:50.409555,sof,Tomato sauce,"Hunt's - Tomato Sauce, Fat Free, 680 Millilitre",3.29
2023-06-10 11:00:51.079269,sof,Spaguetti,"Catelli - Classic, Spaghetti Pasta, 900 Gram",5.29
2023-06-10 11:00:51.771913,sof,Bacon,"Schneiders - Hickory Smoked Classic Cut Bacon, 375 Gram",8.99
2023-06-10 11:00:52.459191,sof,Beans,"Unico - Black Beans, 540 Millilitre",2.99
2023-06-10 11:00:53.178521,sof,Strawberries,"Strawberries - Fresh, 1 Each",4.99
2023-06-10 11:00:53.887108,sof,Bread,"Dempster's - White Bread - Sliced, 570 Gram",4.99
2023-06-10 11:00:54.685240,sof,Sliced ham,"Maple Leaf - Natural Selections Sliced Deli Ham, Baked, 175 Gram",7.99
2023-06-10 11:00:55.388348,sof,Sliced cheese,"Cracker Barrel - Mozzarella Cheese Slices, 240 Gram",6.99
2023-06-10 11:00:56.246878,sof,Hot dogs,"Maple Leaf - Natural Top Dogs Original Hot Dogs, 375 Gram",6.49
