datetime,supermarket,product,product_name,product_price
2023-04-08 17:46:25.742264,sfw,Milk,Dairyland 2% Milk Partly Skimmed 1 L,2.01
2023-04-08 17:46:27.275386,sfw,Tomato sauce,Hunt's Fat-Free Tomato Sauce 680 ml,3.29
2023-04-08 17:46:28.611623,sfw,Spaguetti,Catelli Pasta Spaghetti 900 g,5.49
2023-04-08 17:46:29.500115,sfw,Bacon,Schneiders Hickory Smoked Classic Cut Bacon 375 g,7.99
2023-04-08 17:46:30.688437,sfw,Beans,Unico Black Beans 540 ml,2.49
2023-04-08 17:46:31.558937,sfw,Strawberries,Strawberries 454 g,7.99
2023-04-08 17:46:33.031093,sfw,Bread,Dempster's White Bread Stay Fresh 570 g,3.89
2023-04-08 17:46:34.050512,sfw,Sliced ham,Maple Leaf Natural Selections Sliced Deli Ham Baked 175 g,8.49
2023-04-08 17:46:35.057936,sfw,Sliced cheese,Cracker Barrel Slices Cheese Mozzarella 240 g,6.69
2023-04-08 17:46:36.089344,sfw,Hot dogs,Maple Leaf Natural Top Dogs Original Hot Dogs 375 g,6.49
2023-04-08 17:46:40.437858,sof,Milk,"Dairyland - 2% Milk, 1 Litre",2.89
2023-04-08 17:46:44.579502,sof,Tomato sauce,"Hunt's - Tomato Sauce, 680 Millilitre",3.29
2023-04-08 17:46:47.521438,sof,Spaguetti,"Catelli - Classic, Spaghetti Pasta, 900 Gram",4.99
2023-04-08 17:46:49.402609,sof,Bacon,"Schneiders - Hickory Smoked Classic Cut Bacon, 375 Gram",6.99
2023-04-08 17:46:51.519219,sof,Beans,"Unico - Black Beans, 540 Millilitre",2.99
2023-04-08 17:46:53.766343,sof,Strawberries,"Strawberries - Fresh, 1 Pound",6.99
2023-04-08 17:46:55.761157,sof,Bread,"Dempster's - White Bread - Sliced, 570 Gram",3.99
2023-04-08 17:46:57.616019,sof,Sliced ham,"Maple Leaf - Natural Selections Sliced Deli Ham, Baked, 175 Gram",8.49
2023-04-08 17:46:59.400552,sof,Sliced cheese,"Cracker Barrel - Mozzarella Cheese Slices, 240 Gram",6.99
2023-04-08 17:47:01.063420,sof,Hot dogs,"Maple Leaf - Natural Top Dogs Original Hot Dogs, 375 Gram",7.49
