datetime,supermarket,product,product_name,product_price
2023-06-07 20:05:47.702577,sfw,Milk,Dairyland 2% Milk Partly Skimmed 1 L,2.99
2023-06-07 20:05:48.901708,sfw,Tomato sauce,Hunt's Fat-Free Tomato Sauce 680 ml,3.29
2023-06-07 20:05:49.790409,sfw,Spaguetti,Catelli Pasta Spaghetti 900 g,5.79
2023-06-07 20:05:50.933012,sfw,Bacon,Schneiders Bacon Hickory Smoked Classic Cut 375 g,6.99
2023-06-07 20:05:52.228591,sfw,Beans,Unico Black Beans 540 ml,2.49
2023-06-07 20:05:53.538767,sfw,Strawberries,Strawberries 454 g,5.49
2023-06-07 20:05:54.433238,sfw,Bread,Dempster's White Bread Stay Fresh 570 g,3.79
2023-06-07 20:05:56.330855,sfw,Sliced ham,Maple Leaf Natural Selections Sliced Deli Ham Baked 175 g,8.49
2023-06-07 20:05:57.839905,sfw,Sliced cheese,Cracker Barrel Slices Cheese Mozzarella 240 g,6.69
2023-06-07 20:05:59.321834,sfw,Hot dogs,Maple Leaf Natural Top Dogs Hot Dogs Original 375 g,7.29
2023-06-07 20:06:03.538904,sof,Milk,"Dairyland - 2% Milk, 1 Litre",2.89
2023-06-07 20:06:04.374846,sof,Tomato sauce,"Hunt's - Tomato Sauce, Fat Free, 680 Millilitre",3.29
2023-06-07 20:06:05.275055,sof,Spaguetti,"Catelli - Classic, Spaghetti Pasta, 900 Gram",5.29
2023-06-07 20:06:11.251551,sof,Bacon,"Schneiders - Hickory Smoked Classic Cut Bacon, 375 Gram",5.49
2023-06-07 20:06:12.081754,sof,Beans,"Unico - Black Beans, 540 Millilitre",2.99
2023-06-07 20:06:13.032430,sof,Strawberries,"Strawberries - Fresh, 1 Each",6.99
2023-06-07 20:06:14.257835,sof,Bread,"Dempster's - White Bread - Sliced, 570 Gram",3.99
2023-06-07 20:06:14.967907,sof,Sliced ham,"Maple Leaf - Natural Selections Sliced Deli Ham, Baked, 175 Gram",8.49
2023-06-07 20:06:16.308508,sof,Sliced cheese,"Cracker Barrel - Mozzarella Cheese Slices, 240 Gram",4.99
2023-06-07 20:06:17.089292,sof,Hot dogs,"Maple Leaf - Natural Top Dogs Original Hot Dogs, 375 Gram",6.49
