datetime,supermarket,product,product_name,product_price
2023-07-01 11:00:39.391855,sfw,Milk,Dairyland 2% Milk Partly Skimmed 1 L,2.99
2023-07-01 11:00:40.465550,sfw,Tomato sauce,Hunt's Fat-Free Tomato Sauce 680 ml,3.29
2023-07-01 11:00:41.557560,sfw,Spaguetti,Catelli Pasta Spaghetti 900 g,5.79
2023-07-01 11:00:42.460141,sfw,Bacon,Schneiders Bacon Hickory Smoked Classic Cut 375 g,6.99
2023-07-01 11:00:43.299564,sfw,Beans,Unico Black Beans 540 ml,2.79
2023-07-01 11:00:44.301410,sfw,Strawberries,Strawberries 454 g,7.29
2023-07-01 11:00:45.075176,sfw,Bread,Dempster's White Bread Stay Fresh 570 g,3.25
2023-07-01 11:00:46.868412,sfw,Sliced ham,Maple Leaf Natural Selections Gluten Free Sliced Deli Ham Baked 175 g,8.49
2023-07-01 11:00:47.951649,sfw,Sliced cheese,Cracker Barrel Slices Cheese Mozzarella 240 g,4.99
2023-07-01 11:00:49.600187,sfw,Hot dogs,Maple Leaf Natural Top Dogs Hot Dogs Original 375 g,7.29
2023-07-01 11:00:50.660302,sof,Milk,"Dairyland - 2% Milk, 1 Litre",2.89
2023-07-01 11:00:51.600861,sof,Tomato sauce,"Hunt's - Tomato Sauce, Fat Free, 680 Millilitre",3.29
2023-07-01 11:00:52.835375,sof,Spaguetti,"Catelli - Classic, Spaghetti Pasta, 900 Gram",5.29
2023-07-01 11:00:54.044791,sof,Bacon,"Schneiders - Hickory Smoked Classic Cut Bacon, 375 Gram",8.99
2023-07-01 11:00:55.307836,sof,Beans,"Unico - Black Beans, 540 Millilitre",2.99
2023-07-01 11:00:56.212691,sof,Strawberries,"Strawberries - Fresh, 1lb, 1 Each",5.99
2023-07-01 11:00:57.068609,sof,Bread,"Dempster's - White Bread - Sliced, 570 Gram",4.99
2023-07-01 11:00:57.839469,sof,Sliced ham,"Maple Leaf - Natural Selections Sliced Deli Ham, Baked, 175 Gram",8.49
2023-07-01 11:00:58.511996,sof,Sliced cheese,"Cracker Barrel - Mozzarella Cheese Slices, 240 Gram",6.99
2023-07-01 11:00:59.208038,sof,Hot dogs,"Maple Leaf - Natural Top Dogs Original Hot Dogs, 375 Gram",6.49
