datetime,supermarket,product,product_name,product_price
2023-04-15 13:09:38.466241,sfw,Milk,Dairyland 2% Milk Partly Skimmed 1 L,2.01
2023-04-15 13:09:39.548216,sfw,Tomato sauce,Hunt's Fat-Free Tomato Sauce 680 ml,3.29
2023-04-15 13:09:40.519975,sfw,Spaguetti,Catelli Pasta Spaghetti 900 g,5.49
2023-04-15 13:09:41.397028,sfw,Bacon,Schneiders Hickory Smoked Classic Cut Bacon 375 g,7.99
2023-04-15 13:09:42.024700,sfw,Beans,Unico Black Beans 540 ml,2.49
2023-04-15 13:09:43.026935,sfw,Strawberries,Strawberries 454 g,6.99
2023-04-15 13:09:43.890341,sfw,Bread,Dempster's White Bread Stay Fresh 570 g,3.89
2023-04-15 13:09:44.579807,sfw,Sliced ham,Maple Leaf Natural Selections Sliced Deli Ham Baked 175 g,8.49
2023-04-15 13:09:45.255590,sfw,Sliced cheese,Cracker Barrel Slices Cheese Mozzarella 240 g,6.69
2023-04-15 13:09:46.017698,sfw,Hot dogs,Maple Leaf Natural Top Dogs Original Hot Dogs 375 g,6.49
2023-04-15 13:09:50.663961,sof,Milk,"Dairyland - 2% Milk, 1 Litre",2.89
2023-04-15 13:09:51.383766,sof,Tomato sauce,"Hunt's - Tomato Sauce, 680 Millilitre",3.29
2023-04-15 13:09:52.859306,sof,Spaguetti,"Catelli - Classic, Spaghetti Pasta, 900 Gram",4.99
2023-04-15 13:09:53.625159,sof,Bacon,"Schneiders - Hickory Smoked Classic Cut Bacon, 375 Gram",8.49
2023-04-15 13:09:55.304850,sof,Beans,"Unico - Black Beans, 540 Millilitre",2.99
2023-04-15 13:09:56.966010,sof,Strawberries,"Strawberries - Fresh, 1 Pound",6.99
2023-04-15 13:09:57.691244,sof,Bread,"Dempster's - White Bread - Sliced, 570 Gram",4.99
2023-04-15 13:09:58.410140,sof,Sliced ham,"Maple Leaf - Natural Selections Sliced Deli Ham, Baked, 175 Gram",6.99
2023-04-15 13:10:04.083703,sof,Sliced cheese,"Cracker Barrel - Mozzarella Cheese Slices, 240 Gram",6.99
2023-04-15 13:10:04.852218,sof,Hot dogs,"Maple Leaf - Natural Top Dogs Original Hot Dogs, 375 Gram",4.99
