datetime,supermarket,product,product_name,product_price
2023-04-30 14:04:38.344536,sfw,Milk,Dairyland 2% Milk Partly Skimmed 1 L,2.01
2023-04-30 14:04:39.592820,sfw,Tomato sauce,Hunt's Fat-Free Tomato Sauce 680 ml,3.29
2023-04-30 14:04:40.608238,sfw,Spaguetti,Catelli Pasta Spaghetti 900 g,5.49
2023-04-30 14:04:41.939474,sfw,Bacon,Schneiders Bacon Hickory Smoked Classic Cut 375 g,7.99
2023-04-30 14:04:43.168420,sfw,Beans,Unico Black Beans 540 ml,2.49
2023-04-30 14:04:44.004598,sfw,Strawberries,Strawberries 454 g,6.99
2023-04-30 14:04:44.947568,sfw,Bread,Dempster's White Bread Stay Fresh 570 g,3.89
2023-04-30 14:04:45.807441,sfw,Sliced ham,Maple Leaf Natural Selections Sliced Deli Ham Baked 175 g,8.49
2023-04-30 14:04:46.624972,sfw,Sliced cheese,Cracker Barrel Slices Cheese Mozzarella 240 g,6.69
2023-04-30 14:04:47.582606,sfw,Hot dogs,Maple Leaf Natural Top Dogs Hot Dogs Original 375 g,6.49
2023-04-30 14:04:50.704652,sof,Milk,"Dairyland - 2% Milk, 1 Litre",2.89
2023-04-30 14:04:51.628122,sof,Tomato sauce,"Hunt's - Tomato Sauce, 680 Millilitre",3.29
2023-04-30 14:04:52.582761,sof,Spaguetti,"Catelli - Classic, Spaghetti Pasta, 900 Gram",5.29
2023-04-30 14:04:53.544342,sof,Bacon,"Schneiders - Hickory Smoked Classic Cut Bacon, 375 Gram",8.49
2023-04-30 14:04:55.065367,sof,Beans,"Unico - Black Beans, 540 Millilitre",2.99
2023-04-30 14:04:55.825126,sof,Strawberries,"Strawberries - Fresh, 1 Pound",6.99
2023-04-30 14:04:56.856072,sof,Bread,"Dempster's - White Bread - Sliced, 570 Gram",3.99
2023-04-30 14:04:57.845595,sof,Sliced ham,"Maple Leaf - Natural Selections Sliced Deli Ham, Baked, 175 Gram",8.49
2023-04-30 14:04:58.730680,sof,Sliced cheese,"Cracker Barrel - Mozzarella Cheese Slices, 240 Gram",6.99
2023-04-30 14:04:59.410639,sof,Hot dogs,"Maple Leaf - Natural Top Dogs Original Hot Dogs, 375 Gram",6.49
