datetime,supermarket,product,product_name,product_price
2023-05-22 20:25:41.783946,sfw,Milk,Dairyland 2% Milk Partly Skimmed 1 L,2.99
2023-05-22 20:25:42.849386,sfw,Tomato sauce,Hunt's Fat-Free Tomato Sauce 680 ml,3.29
2023-05-22 20:25:43.949273,sfw,Spaguetti,Catelli Pasta Spaghetti 900 g,5.79
2023-05-22 20:25:45.174816,sfw,Bacon,Schneiders Bacon Hickory Smoked Classic Cut 375 g,6.99
2023-05-22 20:25:46.105025,sfw,Beans,Unico Black Beans 540 ml,2.49
2023-05-22 20:25:47.003897,sfw,Strawberries,Strawberries 454 g,5.49
2023-05-22 20:25:48.177975,sfw,Bread,Dempster's White Bread Stay Fresh 570 g,3.0
2023-05-22 20:25:49.044480,sfw,Sliced ham,Maple Leaf Natural Selections Sliced Deli Ham Baked 175 g,8.49
2023-05-22 20:25:50.029210,sfw,Sliced cheese,Cracker Barrel Slices Cheese Mozzarella 240 g,6.69
2023-05-22 20:25:50.971670,sfw,Hot dogs,Maple Leaf Natural Top Dogs Hot Dogs Original 375 g,7.29
2023-05-22 20:25:51.931720,sof,Milk,"Dairyland - 2% Milk, 1 Litre",2.89
2023-05-22 20:25:52.722117,sof,Tomato sauce,"Hunt's - Tomato Sauce, 680 Millilitre",3.29
2023-05-22 20:25:53.748933,sof,Spaguetti,"Catelli - Classic, Spaghetti Pasta, 900 Gram",5.29
2023-05-22 20:25:54.597445,sof,Bacon,"Schneiders - Hickory Smoked Classic Cut Bacon, 375 Gram",8.99
2023-05-22 20:25:55.613988,sof,Beans,"Unico - Black Beans, 540 Millilitre",2.99
2023-05-22 20:25:56.692519,sof,Strawberries,"Strawberries - Fresh, 1 Each",6.99
2023-05-22 20:25:57.922192,sof,Bread,"Dempster's - White Bread - Sliced, 570 Gram",4.99
2023-05-22 20:26:01.842080,sof,Sliced ham,"Maple Leaf - Natural Selections Sliced Deli Ham, Baked, 175 Gram",8.49
2023-05-22 20:26:03.571418,sof,Sliced cheese,"Cracker Barrel - Mozzarella Cheese Slices, 240 Gram",6.99
2023-05-22 20:26:04.711411,sof,Hot dogs,"Maple Leaf - Natural Top Dogs Original Hot Dogs, 375 Gram",6.49
