datetime,supermarket,product,product_name,product_price
2023-05-14 14:51:36.327746,sfw,Milk,Dairyland 2% Milk Partly Skimmed 1 L,2.99
2023-05-14 14:51:38.019776,sfw,Tomato sauce,Hunt's Fat-Free Tomato Sauce 680 ml,1.5
2023-05-14 14:51:39.280860,sfw,Spaguetti,Catelli Pasta Spaghetti 900 g,5.79
2023-05-14 14:51:40.803071,sfw,Bacon,Schneiders Bacon Hickory Smoked Classic Cut 375 g,6.99
2023-05-14 14:51:42.213246,sfw,Beans,Unico Black Beans 540 ml,2.49
2023-05-14 14:51:43.526327,sfw,Strawberries,Strawberries 454 g,2.99
2023-05-14 14:51:44.716758,sfw,Bread,Dempster's White Bread Stay Fresh 570 g,3.89
2023-05-14 14:51:45.691453,sfw,Sliced ham,Maple Leaf Natural Selections Sliced Deli Ham Baked 175 g,8.49
2023-05-14 14:51:46.846622,sfw,Sliced cheese,Cracker Barrel Slices Cheese Mozzarella 240 g,4.99
2023-05-14 14:51:47.802443,sfw,Hot dogs,Maple Leaf Natural Top Dogs Hot Dogs Original 375 g,7.29
2023-05-14 14:51:48.681748,sof,Milk,"Dairyland - 2% Milk, 1 Litre",2.89
2023-05-14 14:51:49.365812,sof,Tomato sauce,"Hunt's - Tomato Sauce, 680 Millilitre",3.29
2023-05-14 14:51:50.065035,sof,Spaguetti,"Catelli - Classic, Spaghetti Pasta, 900 Gram",5.29
2023-05-14 14:51:50.744455,sof,Bacon,"Schneiders - Hickory Smoked Classic Cut Bacon, 375 Gram",6.99
2023-05-14 14:51:51.718573,sof,Beans,"Unico - Black Beans, 540 Millilitre",2.99
2023-05-14 14:51:52.580137,sof,Strawberries,"Strawberries - Fresh, 1 Pound",6.99
2023-05-14 14:51:53.691306,sof,Bread,"Dempster's - White Bread - Sliced, 570 Gram",4.99
2023-05-14 14:51:54.478384,sof,Sliced ham,"Maple Leaf - Natural Selections Sliced Deli Ham, Baked, 175 Gram",8.49
2023-05-14 14:51:55.410745,sof,Sliced cheese,"Cracker Barrel - Mozzarella Cheese Slices, 240 Gram",4.49
2023-05-14 14:51:56.360305,sof,Hot dogs,"Maple Leaf - Natural Top Dogs Original Hot Dogs, 375 Gram",6.49
